"Wall Schedule"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Family"	"Base Constraint"	"Top Offset"	"Top Constraint"	"Unconnected Height"	"Volume"	"Area"	"Width"	"Length"	"Type"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"7.06 m³"	"48 m²"	"150"	"6443"	"CG - 151"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"6.86 m³"	"69 m²"	"100"	"7679"	"CG - 100"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"6.82 m³"	"68 m²"	"100"	"14233"	"CG - 100"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"6.78 m³"	"14 m²"	"500"	"1381"	"CG - 500"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"6.59 m³"	"27 m²"	"240"	"3153"	"CG - 240"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"6.57 m³"	"66 m²"	"100"	"7250"	"CG - 100"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"6.41 m³"	"64 m²"	"100"	"7364"	"CG - 100"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"5.87 m³"	"29 m²"	"200"	"3360"	"CG - 200mm 2"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"5.67 m³"	"16 m²"	"350"	"2051"	"CG - 350"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"5.65 m³"	"11 m²"	"500"	"1381"	"CG - 500"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"5.65 m³"	"11 m²"	"500"	"1381"	"CG - 500"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"5.65 m³"	"11 m²"	"500"	"1381"	"CG - 500"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"5.65 m³"	"11 m²"	"500"	"1381"	"CG - 500"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"5.62 m³"	"11 m²"	"500"	"1424"	"CG - 500"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"5.58 m³"	"28 m²"	"200"	"3127"	"CG - 200mm 2"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"5.53 m³"	"16 m²"	"350"	"1881"	"CG - 350"
"Basic Wall"	"G/F"	"0"	"Unconnected"	"6000"	"5.49 m³"	"19 m²"	"290"	"3240"	"CG - 291"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"5.03 m³"	"25 m²"	"200"	"2542"	"CG - 200mm"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"5.00 m³"	"50 m²"	"100"	"6203"	"CG - 101"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"4.38 m³"	"22 m²"	"200"	"2432"	"CG - 200mm"
"Basic Wall"	"G/F"	"-5419"	"Up to level: 1/F"	"3581"	"4.07 m³"	"27 m²"	"150"	"6407"	"CG - 151"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"4.06 m³"	"41 m²"	"100"	"4559"	"CG - 100"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"3.88 m³"	"26 m²"	"150"	"2872"	"CG - 150"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"3.88 m³"	"39 m²"	"100"	"4475"	"CG - 100"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"3.88 m³"	"39 m²"	"100"	"4475"	"CG - 100"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"3.71 m³"	"25 m²"	"150"	"2847"	"CG - 151"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"3.59 m³"	"24 m²"	"150"	"2660"	"CG - 150"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"3.57 m³"	"24 m²"	"150"	"2636"	"CG - 150"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"3.55 m³"	"36 m²"	"100"	"3898"	"CG - 101"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"3.51 m³"	"35 m²"	"100"	"7300"	"CG - 100"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"3.48 m³"	"44 m²"	"80"	"5432"	"CG -80"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"3.40 m³"	"27 m²"	"125"	"2865"	"CG - 125"
"Basic Wall"	"G/F"	"0"	"Unconnected"	"6500"	"3.02 m³"	"15 m²"	"200"	"2476"	"CG - 200mm 2"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"2.88 m³"	"14 m²"	"200"	"1847"	"CG - 200mm"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"2.86 m³"	"14 m²"	"200"	"1814"	"CG - 200mm"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"2.84 m³"	"28 m²"	"100"	"3153"	"CG - 100"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"2.79 m³"	"28 m²"	"100"	"3280"	"CG - 100"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"2.72 m³"	"14 m²"	"190"	"1814"	"CG - 190"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"2.71 m³"	"18 m²"	"150"	"2813"	"CG - 151"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"2.53 m³"	"13 m²"	"200"	"1407"	"CG - 200mm"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"2.51 m³"	"31 m²"	"80"	"4475"	"CG -80"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"2.38 m³"	"24 m²"	"100"	"4305"	"CG - 100"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"2.31 m³"	"23 m²"	"110"	"4106"	"CG - 110"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"2.30 m³"	"23 m²"	"100"	"4763"	"CG - 100"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"2.28 m³"	"23 m²"	"100"	"4441"	"CG - 100"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"2.26 m³"	"23 m²"	"100"	"4763"	"CG - 100"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"2.23 m³"	"15 m²"	"150"	"1796"	"CG - 150"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"2.15 m³"	"21 m²"	"100"	"2669"	"CG - 100"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"2.13 m³"	"9 m²"	"250"	"1119"	"CG - 251"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"2.07 m³"	"21 m²"	"100"	"3809"	"CG - 100"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"2.04 m³"	"21 m²"	"100"	"3266"	"CG - 100"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"2.01 m³"	"20 m²"	"100"	"4441"	"CG - 100"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"1.98 m³"	"20 m²"	"100"	"2203"	"CG - 100"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"1.97 m³"	"20 m²"	"100"	"2492"	"CG - 100"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"1.97 m³"	"20 m²"	"100"	"2492"	"CG - 100"
"Basic Wall"	"G/F"	"0"	"Unconnected"	"6500"	"1.92 m³"	"10 m²"	"200"	"2262"	"CG - 200mm"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"1.71 m³"	"21 m²"	"80"	"4441"	"CG -80"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"1.62 m³"	"16 m²"	"100"	"1847"	"CG - 100"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"1.60 m³"	"16 m²"	"100"	"2426"	"CG - 100"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"1.49 m³"	"15 m²"	"100"	"1831"	"CG - 100"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"1.45 m³"	"14 m²"	"100"	"1559"	"CG - 100"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"1.42 m³"	"14 m²"	"100"	"1678"	"CG - 100"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"1.40 m³"	"15 m²"	"100"	"1844"	"CG - 100"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"1.28 m³"	"13 m²"	"100"	"1847"	"CG - 101"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"1.27 m³"	"6 m²"	"200"	"1106"	"CG - 200mm 2"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"1.25 m³"	"12 m²"	"100"	"1814"	"CG - 100"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"1.20 m³"	"12 m²"	"100"	"1712"	"CG - 101"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"1.20 m³"	"13 m²"	"100"	"1573"	"CG - 100"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"1.13 m³"	"11 m²"	"100"	"1500"	"CG - 100"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"1.08 m³"	"11 m²"	"100"	"1420"	"CG - 100"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"1.03 m³"	"10 m²"	"100"	"2030"	"CG - 100"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"1.02 m³"	"5 m²"	"200"	"373"	"CG - 200mm"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"0.95 m³"	"10 m²"	"100"	"2034"	"CG - 100"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"0.94 m³"	"13 m²"	"70"	"4763"	"CG -70"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"0.86 m³"	"9 m²"	"100"	"1076"	"CG - 100"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"0.82 m³"	"9 m²"	"100"	"983"	"CG - 100"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"0.74 m³"	"8 m²"	"100"	"1116"	"CG - 100"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"0.69 m³"	"14 m²"	"50"	"1619"	"CG -50"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"0.69 m³"	"14 m²"	"50"	"1619"	"CG -50"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"0.69 m³"	"14 m²"	"50"	"1619"	"CG -50"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"0.69 m³"	"14 m²"	"50"	"1619"	"CG -50"
"Basic Wall"	"G/F"	"0"	"Unconnected"	"5800"	"0.68 m³"	"7 m²"	"100"	"1628"	"CG - 101"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"0.67 m³"	"3 m²"	"200"	"254"	"CG - 200mm 2"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"0.65 m³"	"8 m²"	"80"	"1271"	"CG -80"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"0.63 m³"	"6 m²"	"100"	"924"	"CG - 100"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"0.63 m³"	"13 m²"	"50"	"3203"	"CG -50"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"0.58 m³"	"6 m²"	"100"	"1857"	"CG - 100"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"11196"	"0.57 m³"	"6 m²"	"100"	"785"	"CG - 100"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"0.53 m³"	"5 m²"	"100"	"1076"	"CG - 101"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"0.50 m³"	"6 m²"	"80"	"1214"	"CG -80"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"0.47 m³"	"5 m²"	"100"	"520"	"CG - 100"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"0.40 m³"	"4 m²"	"100"	"805"	"CG - 100"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"0.36 m³"	"7 m²"	"50"	"1593"	"CG -50"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"0.36 m³"	"7 m²"	"50"	"1593"	"CG -50"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"0.36 m³"	"7 m²"	"50"	"1593"	"CG -50"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"0.35 m³"	"3 m²"	"100"	"898"	"CG - 100"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"0.35 m³"	"4 m²"	"100"	"443"	"CG - 100"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"0.30 m³"	"6 m²"	"100"	"760"	"CG - 100"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"0.28 m³"	"3 m²"	"100"	"309"	"CG - 100"
